rest_or_suffix	frequency
ටයි	37655
වාරි	37639
වද	37619
රම	37612
ණයෙන්	37270
ත්‍යාංශය	37250
තට	37227
සියට	37190
රොත්තු	36872
ක්ම	36829
පොරොත්තු	36735
දෙන	36582
තී	36557
ර්ණ	36290
යනය	36092
තනය	35977
මයේ	35898
ත්වෙන	35675
ක්ෂණය	35627
ලයන්	35619
රන්	35604
තාවගේ	35552
ලක	35480
ලත්	35435
ටුව	35295
ස්ත්‍රාත්	35292
තයන්	35228
ගැනීම	35205
වම	35112
මකට	35105
දුර	35089
ර්ග	34897
ච්චි	34762
සික	34709
ෂ්	34092
ස්ථානය	34078
න්තය	34049
නම	34008
යාවට	33987
ලයක්	33926
වරයාගේ	33885
පය	33819
න්ය	33502
මාර්ග	33491
මද	33042
මක	32980
භාගී	32929
ෂන්	32795
ධී	32763
මන	32568
හස	32526
ළට	32492
වෝ	32432
ත්ම	32337
රණයක්	32327
ව්‍ය	32318
තයේ	32308
ධාරණය	32274
රයි	32209
නින්	32113
ධය	32091
ටට	32083
ලියේ	31971
වරයාට	31914
ලූ	31846
හර	31705
ත්වාගෙන	31697
මැති	31684
මටත්	31414
වාදය	31390
ශක	31386
සනවා	31377
තක්	31349
නාගාර	31238
තයින්	31217
ණික	31158
දාව	31112
දාස	31072
නට්	31030
වලිය	30946
ගයක්	30941
ර්ධනය	30891
දයක්	30668
රාල්	30650
චාර්ය	30533
කයේ	30477
ලම	30430
මිතය	30379
ලුම	30373
සේකර	30355
සුවේ	30190
ක්ෂාව	30178
දීන්	30137
භය	30091
ශයක්	30029
ස්ථාන	30001
ලනය	29977
සියේ	29894
දිලි	29841
මනය	29703
න්තුවට	29692
කයන්ට	29660
තයි	29597
තින්	29527
ණීමට	29480
න්ව	29410
මේන්තුවට	29232
ධාන	29133
සම	29002
රුම්	28900
තයක්	28888
ඛ	28726
බල	28421
කාරිය	28385
දුන්	28342
යදා	28293
ත්වන	28133
ගියදා	28097
යමක්	28086
ඩි	27976
ත්වා	27948
මකින්	27903
වලදී	27903
ශවල	27896
ගයේ	27867
සයේ	27844
යද	27781
තාවය	27753
ක්ක	27734
ෂණ	27633
නව	27409
තාවක්	27396
රණයේ	27305
ධාරී	27175
වශ්‍ය	27120
තයට	27064
මාත්‍ය	27035
සක	26965
ළේ	26871
යෙහි	26807
වෙකු	26758
මිනි	26718
සුරු	26682
ගයට	26656
යින්ට	26622
ධනය	26584
රූප	26509
භාගි	26484
වීම්	26476
වන්නේ	26470
හය	26356
නහිර	26287
කීම	26211
තියක්	26117
සන්නේ	26083
ඳු	25987
ලයා	25978
යුම්	25935
ත්මිය	25902
වේය	25753
වකු	25705
වෙල	25603
ල්ලේ	25566
යගේ	25524
ර්තමේන්තුවේ	25471
වනු	25437
දිය	25349
කාවේ	25245
තුංග	25181
පිට	25110
දයට	25058
කයක්	25035
ලී	25031
මුණේ	24991
ස්ථානයේ	24922
ශ්‍යයි	24878
වින්	24672
රගම	24643
තාට	24611
ෂයෙන්	24542
ක්කයේ	24535
රුන්ගේ	24531
ර්ම	24447
කයෙකු	24411
ගම්	24320
පයේ	24307
වයක්	24282
යාවක්	24233
ල්ලක්	24165
ම්වලට	24154
ටහන	23974
සටහන	23918
ටා	23862
ගන්නා	23783
ස්ථාවට	23778
නිය	23699
න්තොට	23623
රමින්	23617
සිරි	23588
ක්ෂිත	23561
සුම	23547
ර්ශනය	23527
රකට	23463
කයෝ	23424
තත්	23403
න්වා	23382
ලයෙකු	23381
රීම්	23341
වීමේ	23271
ලව	23188
ගින්	23179
කීම්	23168
ද්දී	22991
යෝගය	22932
භාවය	22906
වාද	22871
නත්වයෙන්	22843
සකට	22834
ස්ස	22806
වීර	22758
පාලනය	22756
රයක	22744
වලියේ	22704
තනයේ	22630
තක	22576
දම්	22501
